GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,4.9,4.9 [2.1-10.9],2.1,10.9
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,2011,2011,2011,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_HIGHER,Higher education,53.9,53.9 [35.2-71.6],35.2,71.6
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,Total,27.0,27.0 [24.6-29.5],24.6,29.5
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,2.2,2.2 [0.7-6.5],0.7,6.5
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2018,2018,2018,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_FMLE,Female,9.0819515,9.1 [4.2-16.4],4.2330872,16.362451
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2019,2019,2019,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,24.0,24.0 [22.1-26.1],22.1,26.1
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/minimum-meal-frequency-6-23-months,2019,2019,2019,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,69.6,69.6 [65.6-73.3],65.6,73.3
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2011,2011,2011,SEAR,South-East Asia,NPL,Nepal,AGEGROUP,AGEGROUP_MONTHS24-29,24 to 29 months,2.1,2.1 [0.9-5.0],0.9,5.0
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2011,2011,2011,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_BTSX,Both sexes,1.3513749,1.4 [0.7-2.5],0.65580248,2.4969058
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2019,2019,2019,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_FMLE,Female,3.3,3.3 [2.2-4.9],2.2,4.9
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2014,2014,2014,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,7.3,7.3 [4.0-12.8],4.0,12.8
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,20.1,20.1 [14.0-28.1],14.0,28.1
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2010,2010,2010,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,1.9,1.9,,
